"ID","SPECIES","STAGE","TSECS","observedState","decodedState"
23,"Sandwich","Chick",33394,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33395,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33396,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33397,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33398,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33399,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33400,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33401,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33402,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33403,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33404,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33405,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33406,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33407,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33408,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33409,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33410,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33411,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33412,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33413,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33414,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33415,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33416,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33417,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33418,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33419,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33420,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33421,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33422,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33423,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33424,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33425,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33426,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33427,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33428,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33429,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33430,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33431,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33432,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33433,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33434,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33435,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33436,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33437,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33438,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33439,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33440,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33441,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33442,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33443,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33444,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33445,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33446,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33447,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33448,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33449,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33450,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33451,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33452,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33453,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33454,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33455,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33456,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33457,"Not-foraging","Not-foraging"
23,"Sandwich","Chick",33458,"Not-foraging","Not-foraging"
