"ID","SPECIES","BSTTSECS","observedState","decodedState"
2,"Sandwich",36437,"Foraging","Foraging"
2,"Sandwich",36438,"Foraging","Foraging"
2,"Sandwich",36439,"Foraging","Foraging"
2,"Sandwich",36440,"Foraging","Foraging"
2,"Sandwich",36441,"Foraging","Foraging"
2,"Sandwich",36442,"Not-foraging","Foraging"
2,"Sandwich",36443,"Not-foraging","Foraging"
2,"Sandwich",36444,"Not-foraging","Foraging"
2,"Sandwich",36445,"Not-foraging","Foraging"
2,"Sandwich",36446,"Not-foraging","Foraging"
2,"Sandwich",36447,"Not-foraging","Not-foraging"
2,"Sandwich",36448,"Not-foraging","Not-foraging"
2,"Sandwich",36449,"Not-foraging","Not-foraging"
2,"Sandwich",36450,"Not-foraging","Not-foraging"
2,"Sandwich",36451,"Not-foraging","Not-foraging"
2,"Sandwich",36452,"Not-foraging","Not-foraging"
2,"Sandwich",36453,"Not-foraging","Not-foraging"
2,"Sandwich",36454,"Not-foraging","Not-foraging"
2,"Sandwich",36455,"Not-foraging","Not-foraging"
2,"Sandwich",36456,"Foraging","Not-foraging"
2,"Sandwich",36457,"Foraging","Not-foraging"
2,"Sandwich",36458,"Foraging","Not-foraging"
2,"Sandwich",36459,"Foraging","Not-foraging"
2,"Sandwich",36460,"Foraging","Not-foraging"
2,"Sandwich",36461,"Foraging","Not-foraging"
2,"Sandwich",36462,"Not-foraging","Not-foraging"
2,"Sandwich",36463,"Not-foraging","Not-foraging"
2,"Sandwich",36464,"Not-foraging","Not-foraging"
2,"Sandwich",36465,"Not-foraging","Not-foraging"
2,"Sandwich",36466,"Not-foraging","Not-foraging"
2,"Sandwich",36467,"Not-foraging","Not-foraging"
2,"Sandwich",36468,"Not-foraging","Not-foraging"
2,"Sandwich",36469,"Not-foraging","Not-foraging"
2,"Sandwich",36470,"Not-foraging","Not-foraging"
2,"Sandwich",36471,"Not-foraging","Not-foraging"
2,"Sandwich",36472,"Not-foraging","Not-foraging"
2,"Sandwich",36473,"Not-foraging","Not-foraging"
2,"Sandwich",36474,"Not-foraging","Not-foraging"
2,"Sandwich",36475,"Not-foraging","Not-foraging"
